Theoretical Maximum (only face detection),,,,,Resnet 18,,,,,Resnet 50 ,,,,,Resnet 101,,,,
Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,
0.617133856,190,8.101970023,classifcation,,0.784313679,190,6.37500038,classifcation,,0.981837034,190,5.092494809,classifcation,,1.139862537,190,4.386493841,classifcation,
0.598194599,195,8.358484024,no,,0.633904457,195,7.887623985,no,,0.718844652,195,6.955605756,no,,0.718241453,195,6.961447265,no,
0.636606216,200,7.854148877,no,,0.596949339,200,8.375920156,no,,0.647130728,200,7.726414132,no,,0.601563454,200,8.311675135,no,
0.627103567,205,7.973164661,no,,0.606170893,205,8.248498996,no,,0.65013361,205,7.690726837,no,,0.616645813,205,8.108382307,no,
0.60443759,210,8.272152635,no,,0.6296978,210,7.940316772,no,,0.669418812,210,7.469165658,no,,0.632119656,210,7.909894837,no,
0.61733079,215,8.099385426,no,,0.597320557,215,8.37071476,no,,0.64423728,215,7.761115595,no,,0.630287409,215,7.932888917,no,
0.610645056,220,8.188062693,no,,0.616982937,220,8.10395183,no,,0.623835564,220,8.014932606,no,,0.624190569,220,8.010374153,no,
0.609146833,225,8.208201579,no,,0.640458584,225,7.806906061,no,,0.612352371,225,8.165233344,no,,0.633442163,225,7.893380467,no,
0.621011257,230,8.051383839,no,,0.610251904,230,8.193337818,no,,0.613551617,230,8.149273613,no,,0.622426987,230,8.033070717,no,
0.620490313,235,8.058143534,no,,0.61335063,235,8.151944022,no,,0.627709627,235,7.965466489,no,,0.622056723,235,8.037852205,no,
